"","unique_ID","accuracy_rate","recall_rate"
"1","0_100",0,0
"2","0_101",0.109848484848485,0.345238095238095
"3","0_102",0.0705882352941176,0.13953488372093
"4","0_103",0.0714285714285714,0.2
"5","0_104",0.177777777777778,0.363636363636364
"6","0_105",0.111111111111111,0.117647058823529
"7","0_105",0.25,0.117647058823529
"8","0_107",0.153846153846154,0.0714285714285714
"9","0_107",0.0793650793650794,0.178571428571429
"10","0_110",0.106666666666667,0.228571428571429
"11","0_111",0.2,0.294117647058824
"12","0_114",0.214285714285714,0.272727272727273
"13","0_115",0,0
"14","0_116",0.170731707317073,0.318181818181818
"15","0_117",0.146666666666667,0.34375
"16","0_118",0,0
"17","0_118",0,0
"18","0_122",0,0
"19","0_124",0,0
"20","0_128",0.333333333333333,0.0588235294117647
"21","0_130",0.172549019607843,0.564102564102564
"22","0_130",0.230769230769231,0.0384615384615385
"23","0_137",0.0805687203791469,0.140495867768595
"24","0_138",0.272727272727273,0.6
"25","0_13",0.189189189189189,0.636363636363636
"26","0_141",0.075,0.157894736842105
"27","0_141",0,0
"28","0_141",0,0
"29","0_142",0.10958904109589,0.388349514563107
"30","0_142",0.0909090909090909,0.0194174757281553
"31","0_143",0,0
"32","0_143",0.235294117647059,0.380952380952381
"33","0_144",0.212389380530973,0.489795918367347
"34","0_146",0,0
"35","0_146",0.0921052631578947,0.388888888888889
"36","0_148",0.0689655172413793,0.148148148148148
"37","0_149",0.0463096960926194,0.187134502923977
"38","0_14",0.141025641025641,0.478260869565217
"39","0_150",0.175257731958763,0.459459459459459
"40","0_150",0,0
"41","0_151",0.0701754385964912,0.153846153846154
"42","0_154",0,0
"43","0_156",0.302325581395349,0.2
"44","0_156",0.253164556962025,0.307692307692308
"45","0_157",0,0
"46","0_158",0.158730158730159,0.476190476190476
"47","0_159",0,0
"48","0_15",0.166666666666667,0.5
"49","0_161",0.0581395348837209,0.208333333333333
"50","0_164",0.164179104477612,0.333333333333333
"51","0_165",0.347593582887701,0.656565656565657
"52","0_166",0.252100840336134,0.540540540540541
"53","0_167",0.074468085106383,0.259259259259259
"54","0_168",0.219512195121951,0.333333333333333
"55","0_16",0,0
"56","0_16",0.185185185185185,0.294117647058824
"57","0_170",0.207317073170732,0.333333333333333
"58","0_171",0.208333333333333,0.25
"59","0_171",0.25,0.05
"60","0_172",0,0
"61","0_173",0,0
"62","0_18",0.21,0.318181818181818
"63","0_19",0,0
"64","0_19",0,0
"65","0_19",0,0
"66","0_20",0.0652173913043478,0.157894736842105
"67","0_24",0,0
"68","0_24",0,0
"69","0_25",0,0
"70","0_26",0.129032258064516,0.533333333333333
"71","0_27",1,0.142857142857143
"72","0_28",0.142222222222222,0.426666666666667
"73","0_29",0.122448979591837,0.214285714285714
"74","0_2",0.48,0.461538461538462
"75","0_30",0.23943661971831,0.515151515151515
"76","0_36",0.00336700336700337,0.0833333333333333
"77","0_37",0.0701754385964912,0.355555555555556
"78","0_39",0,0
"79","0_39",0,0
"80","0_3",0.237209302325581,0.467889908256881
"81","0_51",0.169811320754717,0.654545454545455
"82","0_52",0.16695652173913,0.401673640167364
"83","0_57",0,0
"84","0_5",1,0.0263157894736842
"85","0_5",0.220183486238532,0.631578947368421
"86","0_60",0.27027027027027,0.476190476190476
"87","0_66",0.0967741935483871,0.257142857142857
"88","0_66",0.166666666666667,0.0571428571428571
"89","0_67",0.179190751445087,0.382716049382716
"90","0_74",0.220338983050847,0.5
"91","0_75",0.0363636363636364,0.222222222222222
"92","0_76",0.257142857142857,0.435483870967742
"93","0_77",0.234042553191489,0.379310344827586
"94","0_77",0,0
"95","0_80",0.191588785046729,0.465909090909091
"96","0_82",0,0
"97","0_83",0.111111111111111,0.113636363636364
"98","0_92",0.0803571428571429,0.142857142857143
"99","0_98",0.0278688524590164,0.62962962962963
"100","0_9",0.139072847682119,0.304347826086957
